UI开发者客户端变量标签
标签名称	功能
<$USERNAME>	角色名称
<$MAPNAME>	地图名字
<$MAPX>	地图X
<$MAPY>	地图Y
<$GAMEGOLD_V>	金币
<$GOLD_V>	元宝
<$HP>	HP
<$HPMAX>	HP最大值
<$MP>	MP
<$MPMAX>	MP最大值
<$LEVEL>	等级
<$RELEVEL>	转生等级
<$EXP>	当前经验
<$MAXEXP>	当前最大经验
<$LUCKY>	幸运
<$HITSPEED>	攻击速度
<$DC>	攻击
<$DCMAX>	最大攻击
<$AC>	防御
<$ACMAX>	最大防御
<$MAC>	魔法防御
<$MACMAX>	最大魔法防御
<$MC>	魔法
<$MCMAx>	最大魔法
<$SC>	道术
<$SCMAX>	最高道术
<$PC>	刺术
<$PCMAX>	最高刺术
<$TC>	箭术
<$TCMAX>	最高箭术
<$WC>	武术
<$WCMAX>	最高武术
<$SPEED>	敏捷
<$HIT>	准确
<$WEIGHT>	背包当前负重
<$WEIGHTMAX>	背包最大负重
<$WEARWEIGHT>	穿戴负重
<$WEARWEIGHTMAX>	穿戴最大负重
<$HANDWEIGHT>	腕力
<$HANDWEIGHTMAX>	最大腕力
<$FIGHTPOWER>	战力
<$ANTIMAGIC>	魔法躲避百分比
<$ANTIPOISON>	毒物躲避百分比
<$POISONRECOVER>	毒物躲避百分比
<$HEALTHRECOVER>	体力恢复百分比
<$SPELLRECOVER>	魔力值恢复百分比
<$ABSORBING>	伤害吸收百分比
<$REBOUND>	伤害反弹百分比
<$ATTACKADD>	伤害加成百分比
<$PUNCHHIT>	致命一击百分比
<$CRITICALHIT>	会心一击百分比
<$EXPADDRATE>	经验加成百分比
<$ITEMDROPADDRATE>	物品爆率加成
<$GOLDDROPADDRATE>	金币爆率加成
<$APPENDDAMAGE>	固定伤害
<$HPMAXRATE>	HP上限增加百分比
<$MPMAXRATE>	MP上限增加百分比
<$PUNCHITAPPENDDAMAGE>	致命一击额外伤害
<$CRITICALHITAPPENDDAMAGE>	会心一击额外伤害
<$CREDITPOINT>	声望
