技能数据库字段说明
字段名	说明
自定义	点3个点可以自定义技能特效伤害等
技能ID	盛大默认不要动。自定义最好1万开始
职业	0战 1法 2道 3刺 4弓 5僧 99全职业
技能分类	描述性 介绍一目了然
优先等级	最好默认不要动
最大攻击距离	人物与怪物之间的格数(走1步为1格)
EffectType	使用技能时角色的动作效果
Effect	技能产生的动画效果
DefSpell	每次使用技能使用的魔法值
Spell	每次技能升级后增加使用的魔法值
DefPower	每次技能升级后增加的伤害值下限
Power	技能的伤害值下限
DefMaxPower	每次技能升级后增加的伤害值上限
MaxPower	技能的伤害值上限
1级技能要求转生	需要玩家达到的转生
1级技能要求等级	需要玩家达到的人物等级
1级技能要求点数	需要的熟练度
2级技能要求转生	需要玩家达到的转生
2级技能要求等级	需要玩家达到的人物等级
2级技能要求点数	需要的熟练度
3级技能要求转生	需要玩家达到的转生
3级技能要求等级	需要玩家达到的人物等级
3级技能要求点数	需要的熟练度
释放间隔	再次技能之间的时间(单位:毫秒)
失效时间	使用其他任意技能之间的时间（单位：毫秒）
触发脚本	勾选可以配合脚本做特色功能
魔法锁定	下次释放鼠标不指向也可以打到
自动追踪机率	默认值
禁止释放	如果勾选就相当于失效
说明	F11技能图标上的提示文字
