物品数据库字段说明
字段	名字	说明
Idx	数据库编号	自动生成连续编号 不可重复
Name	物品名字	建议不要超过20字符
Stdmode	物品类型	详情参考物品数据库说明
DropEff	地面特效	DropEff.data文件内10个1组
Shape	特殊类型代码	详情参考物品数据库说明
职业	限制职业使用	0战1法2道3刺4弓5僧99全职业
自定义特效	物品背包内特效	这种背包特效
Weight	重量	
Anicount	特殊字段	详情参考物品数据库说明
Source	特殊字段	详情参考物品数据库说明
Reserved	特殊字段	详情参考物品数据库说明
Looks	物品背包内观	
DuraMax	最大持久	特殊物品参考物品数据库说明
AC	防御下限	特殊物品参考物品数据库说明
AC2	防御上限	特殊物品参考物品数据库说明
Mac	魔御下限	特殊物品参考物品数据库说明
Mac2	魔御上限	特殊物品参考物品数据库说明
DC	攻击下限	特殊物品参考物品数据库说明
DC2	攻击上限	特殊物品参考物品数据库说明
MC	魔法下下限	特殊物品参考物品数据库说明
MC2	魔法上限	特殊物品参考物品数据库说明
SC	道术下限	特殊物品参考物品数据库说明
SC2	道术上限	特殊物品参考物品数据库说明
PC	刺术下限	
PC2	刺术上限	
TC	箭术下限	
TC2	箭术上限	
WC	武术下限	
WC2	武术上限	
Need	需要类型	0等级 1攻击 2魔法 3道术 4转生
NeedLevel	需求等级	
Price	金币价格	
typeID	类型	配合物品类型对照表更丰富
Color	颜色	取值0-255
Descr	说明介绍	可多行文本
